City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Bredasdorp,ZA,65.52,light rain,-34.5322,20.0403,Bredasdorp Country Manor
6,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
8,Mabaruma,GY,84.45,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
9,Victoria,HK,66.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
10,Tuskegee,US,73.22,broken clouds,32.424,-85.6916,Macon Motel
11,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
12,Ponta Do Sol,PT,65.03,overcast clouds,32.6667,-17.1,Hotel do Campo
15,Anloga,GH,84.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
18,Marsh Harbour,BS,75.7,clear sky,26.5412,-77.0636,Abaco Beach Resort
19,Calama,CL,79.29,overcast clouds,-22.4667,-68.9333,Diego De Almagro Calama
20,Sumbe,AO,77.83,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
21,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Cape Town,ZA,69.28,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
25,Castro,BR,80.69,few clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Tibati,CM,85.84,overcast clouds,6.4667,12.6333,Tibati Hotel
27,Chake Chake,TZ,78.33,clear sky,-5.2459,39.7666,Hotel Archipelago
29,Kalmunai,LK,78.55,clear sky,7.4167,81.8167,VS Villa
30,Hermanus,ZA,65.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
32,Estelle,US,77.04,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
34,Pascagoula,US,77.56,clear sky,30.3658,-88.5561,Regency Inn
43,Muscat,OM,73.42,clear sky,23.6139,58.5922,Mutrah Hotel
45,Yamandu,SL,79.45,light rain,7.9362,-11.4928,
47,Amapa,BR,79.86,overcast clouds,1.0,-52.0,
48,Mecca,SA,74.86,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
49,Caravelas,BR,79.03,light rain,-17.7125,-39.2481,Pousada dos Navegantes
50,Olinda,BR,85.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
52,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Nicoya,CR,87.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
56,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Hambantota,LK,75.54,thunderstorm,6.1241,81.1185,Bungalow 63
60,Port Alfred,ZA,67.96,light rain,-33.5906,26.891,The Halyards Hotel
62,Hithadhoo,MV,81.72,broken clouds,-0.6,73.0833,Scoop Guest House
64,Bay Saint Louis,US,78.33,scattered clouds,30.3088,-89.33,The Abode Guest House
