City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Myszkow,PL,50.5752,19.3246,34.05,89,88,5.79,overcast clouds
1,Mantua,IT,45.1667,10.7833,44.71,89,100,1.01,light rain
2,Punta Arenas,CL,-53.15,-70.9167,53.71,71,75,19.57,broken clouds
3,Busselton,AU,-33.65,115.3333,59.09,77,0,9.84,clear sky
4,Ushuaia,AR,-54.8,-68.3,62.26,29,75,17.27,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,65.52,68,100,11.5,light rain
6,Georgetown,MY,5.4112,100.3354,79.9,85,20,3.0,few clouds
7,Sorland,NO,67.667,12.6934,28.99,59,22,17.85,few clouds
8,Mabaruma,GY,8.2,-59.7833,84.45,62,100,6.35,overcast clouds
9,Victoria,HK,22.2855,114.1577,66.25,65,98,4.0,overcast clouds
10,Tuskegee,US,32.424,-85.6916,73.22,54,68,5.75,broken clouds
11,Marawi,PH,7.9986,124.2928,65.64,98,89,3.96,overcast clouds
12,Ponta Do Sol,PT,32.6667,-17.1,65.03,61,98,9.71,overcast clouds
13,Qaanaaq,GL,77.484,-69.3632,0.88,67,67,7.11,broken clouds
14,Dikson,RU,73.5069,80.5464,-20.67,99,100,6.98,overcast clouds
15,Anloga,GH,5.7947,0.8973,84.42,77,47,10.42,scattered clouds
16,Jamestown,US,42.097,-79.2353,44.1,50,1,15.99,clear sky
17,Upernavik,GL,72.7868,-56.1549,15.51,80,100,6.13,light snow
18,Marsh Harbour,BS,26.5412,-77.0636,75.7,64,0,10.49,clear sky
19,Calama,CL,-22.4667,-68.9333,79.29,10,99,23.02,overcast clouds
20,Sumbe,AO,-11.2061,13.8437,77.83,86,100,7.47,overcast clouds
21,Mahebourg,MU,-20.4081,57.7,79.09,78,20,11.5,few clouds
22,Saint Anthony,US,45.0205,-93.218,34.75,52,90,4.0,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,69.28,72,20,5.01,light rain
24,Dawlatabad,AF,36.4141,64.9053,43.93,72,75,4.36,broken clouds
25,Castro,BR,-24.7911,-50.0119,80.69,37,15,5.79,few clouds
26,Tibati,CM,6.4667,12.6333,85.84,27,100,8.1,overcast clouds
27,Chake Chake,TZ,-5.2459,39.7666,78.33,85,10,5.82,clear sky
28,Kedougou,SN,12.5579,-12.1743,97.38,23,0,0.0,clear sky
29,Kalmunai,LK,7.4167,81.8167,78.55,84,1,2.59,clear sky
30,Hermanus,ZA,-34.4187,19.2345,65.8,80,100,22.1,overcast clouds
31,Henties Bay,NA,-22.116,14.2845,63.86,86,0,10.2,clear sky
32,Estelle,US,29.8458,-90.1067,77.04,67,75,6.91,broken clouds
33,Clyde River,CA,70.4692,-68.5914,10.63,92,100,32.21,light snow
34,Pascagoula,US,30.3658,-88.5561,77.56,76,1,3.44,clear sky
35,Olean,US,42.0776,-78.4297,43.66,63,100,14.23,overcast clouds
36,Kupino,RU,54.3663,77.2981,27.86,95,100,8.95,overcast clouds
37,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,6.91,light intensity drizzle
38,Ostrovnoy,RU,68.0531,39.5131,5.0,95,81,6.26,broken clouds
39,Soderhamn,SE,61.3037,17.0592,23.99,70,100,10.45,overcast clouds
40,Olafsvik,IS,64.8945,-23.7142,35.22,75,78,5.39,broken clouds
41,Ypsonas,CY,34.6884,32.9574,63.57,63,0,19.57,clear sky
42,Hofn,IS,64.2539,-15.2082,31.46,55,0,10.71,clear sky
43,Muscat,OM,23.6139,58.5922,73.42,60,6,3.85,clear sky
44,Okakarara,NA,-20.5833,17.4333,76.57,17,0,15.57,clear sky
45,Yamandu,SL,7.9362,-11.4928,79.45,80,100,3.74,light rain
46,Codrington,AU,-38.2667,141.9667,43.29,86,24,5.08,few clouds
47,Amapa,BR,1.0,-52.0,79.86,90,100,3.24,overcast clouds
48,Mecca,SA,21.4267,39.8261,74.86,67,0,2.3,clear sky
49,Caravelas,BR,-17.7125,-39.2481,79.03,73,1,10.0,light rain
50,Olinda,BR,-8.0089,-34.8553,85.73,70,75,10.36,broken clouds
51,Klaksvik,FO,62.2266,-6.589,34.72,55,100,19.1,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,57,75,10.36,broken clouds
53,Nicoya,CR,10.1483,-85.452,87.35,55,10,9.46,clear sky
54,Bonavista,CA,48.6499,-53.1147,32.11,50,81,29.68,broken clouds
55,Corinto,GR,37.9407,22.9573,57.45,86,14,2.73,few clouds
56,Salalah,OM,17.0151,54.0924,77.09,61,0,4.61,clear sky
57,Liverpool,GB,53.4106,-2.9779,44.82,87,75,10.0,broken clouds
58,Hambantota,LK,6.1241,81.1185,75.54,100,20,2.3,thunderstorm
59,Krasnoselkup,RU,65.7,82.4667,-14.91,97,100,4.54,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,67.96,93,100,21.88,light rain
61,Teyateyaneng,LS,-29.1472,27.7489,55.92,95,100,0.34,moderate rain
62,Hithadhoo,MV,-0.6,73.0833,81.72,78,78,12.64,broken clouds
63,Tasiilaq,GL,65.6145,-37.6368,28.56,85,100,23.17,overcast clouds
64,Bay Saint Louis,US,30.3088,-89.33,78.33,70,40,4.61,scattered clouds
65,Antofagasta,CL,-23.65,-70.4,72.21,58,10,10.45,clear sky
66,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,14,10.49,few clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,60.82,79,0,14.0,clear sky
68,Bilma,NE,18.6853,12.9164,69.13,15,3,12.64,clear sky
69,Chabahar,IR,25.2919,60.643,75.78,66,0,11.77,clear sky
70,Quatre Cocos,MU,-20.2078,57.7625,78.91,78,39,12.48,scattered clouds
71,Dingle,PH,10.9995,122.6711,71.4,92,52,8.59,broken clouds
72,Lieksa,FI,63.3167,30.0167,9.12,86,56,9.08,broken clouds
73,Kaputa,ZM,-8.4689,29.6619,74.61,53,0,3.04,clear sky
74,La Paz,BO,-16.5,-68.15,57.18,71,75,5.75,broken clouds
