City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,44.26,70,20,19.57,AR,2021-12-02 03:53:07
1,Tinde,-3.8833,33.2,69.76,71,67,7.47,TZ,2021-12-02 03:54:45
2,Port Elizabeth,-33.918,25.5701,66.09,88,0,20.71,ZA,2021-12-02 03:54:46
3,Malatya,38.5,38.0,30.25,64,0,6.91,TR,2021-12-02 03:54:46
4,Conceicao Do Araguaia,-8.2578,-49.2647,72.46,95,100,1.3,BR,2021-12-02 03:54:46
5,Salisbury,51.0693,-1.7957,36.48,83,10,8.23,GB,2021-12-02 03:53:38
6,Tucuman,-26.8241,-65.2226,78.8,61,40,4.61,AR,2021-12-02 03:54:47
7,Hithadhoo,-0.6,73.0833,82.15,74,90,6.08,MV,2021-12-02 03:54:47
8,Maniitsoq,65.4167,-52.9,33.01,86,100,8.72,GL,2021-12-02 03:54:47
9,Moose Factory,51.2585,-80.6094,19.38,79,90,6.91,CA,2021-12-02 03:54:48
10,Walvis Bay,-22.9575,14.5053,58.08,94,3,10.36,NA,2021-12-02 03:54:48
11,Talara,-4.5772,-81.2719,66.4,83,96,10.8,PE,2021-12-02 03:54:48
12,General Roca,-39.0333,-67.5833,71.62,34,73,12.93,AR,2021-12-02 03:54:48
13,Hermanus,-34.4187,19.2345,57.9,76,65,7.34,ZA,2021-12-02 03:54:49
14,Port Alfred,-33.5906,26.891,66.52,93,95,11.99,ZA,2021-12-02 03:54:49
15,Jamestown,42.097,-79.2353,39.72,92,90,4.0,US,2021-12-02 03:54:50
16,East London,-33.0153,27.9116,67.14,94,90,8.05,ZA,2021-12-02 03:51:14
17,Mar Del Plata,-38.0023,-57.5575,61.88,87,0,15.01,AR,2021-12-02 03:54:50
18,Umm Kaddadah,13.6017,26.6876,69.12,29,0,20.0,SD,2021-12-02 03:54:50
19,Korla,41.7597,86.1469,27.75,52,1,5.82,CN,2021-12-02 03:54:51
20,Ponta Do Sol,32.6667,-17.1,64.71,73,19,4.94,PT,2021-12-02 03:54:51
21,Longyearbyen,78.2186,15.6401,12.04,57,20,11.5,SJ,2021-12-02 03:54:51
22,Manavgat,36.7867,31.4431,55.83,45,0,6.62,TR,2021-12-02 03:54:48
23,Kruisfontein,-34.0033,24.7314,63.88,88,100,14.88,ZA,2021-12-02 03:54:52
24,Lebu,-37.6167,-73.65,52.92,92,100,12.77,CL,2021-12-02 03:54:52
25,Georgetown,5.4112,100.3354,78.89,89,40,1.99,MY,2021-12-02 03:50:45
26,Iqaluit,63.7506,-68.5145,13.73,79,75,2.3,CA,2021-12-02 03:53:29
27,Salalah,17.0151,54.0924,75.61,44,0,4.63,OM,2021-12-02 03:54:52
28,Luderitz,-26.6481,15.1594,58.46,69,0,14.83,NA,2021-12-02 03:54:53
29,Touros,-5.1989,-35.4608,79.7,77,86,10.56,BR,2021-12-02 03:54:53
30,Rio Grande,-32.035,-52.0986,62.94,69,79,9.35,BR,2021-12-02 03:54:53
31,Horki,54.2861,30.9842,25.03,91,100,13.24,BY,2021-12-02 03:54:54
